"date","hourly","txid","iso_symbol","time","value","currency","open","USD_value","EUR","USD","GBP","SGD","EUR_value","GBP_value","SGD_value","high.dt","time.dev.h"
2019-01-23,2019-01-23 23:00:00,"38A7401648AA51D826766107C67780A575512A37BC4B8C4E83A967F537E44CF5","XRP",2019-01-23 22:51:21,981.64,"XRP",0.3127,306.958828,0.87831,0.9999,0.76444,1.35823,269.60500822068,234.65160647632,416.92068895444,2021-04-16 01:00:00,-813.041666666667
2019-01-24,2019-01-24 05:00:00,"8201B6C3E4DD65B9A598A2B944CC950824A985C914B3F2ECDECD963A32DA8F74","XRP",2019-01-24 04:34:52,251.24,"XRP",0.3139,78.864236,0.88411,1.00015,0.76221,1.36057,69.72465968996,60.11110932156,107.30031357452,2021-04-16 01:00:00,-812.791666666667
2019-01-24,2019-01-24 13:00:00,"FAE24912F36C56D126CECC46C5FD733B725F45BA0F057564FA9A05201B213326","XRP",2019-01-24 13:21:51,113.8,"XRP",0.3138,35.71044,0.88411,1.00015,0.76221,1.36057,31.5719571084,27.2188544724,48.5865533508,2021-04-16 01:00:00,-812.458333333333
2019-01-24,2019-01-24 18:00:00,"6D5C9A40F307DB2AF8504413ED012051A33C018796D879CF0CC8565B2759190B","XRP",2019-01-24 18:19:50,203.2412,"XRP",0.3151,64.04130212,0.88411,1.00015,0.76221,1.36057,56.6195556173132,48.8129208888852,87.1326744254084,2021-04-16 01:00:00,-812.25
2019-01-24,2019-01-25 01:00:00,"9A9801AF2C39E1A29421BBA37A37E72F0309A7F351677D6074327F5A4E653169","XRP",2019-01-25 01:12:11,317.4,"XRP",0.3152,100.04448,0.88411,1.00015,0.76221,1.36057,88.4503252128,76.2549031008,136.1175181536,2021-04-16 01:00:00,-811.958333333333
2019-01-25,2019-01-25 09:00:00,"2D181E7BF5A1D0CE9746BCC09577926E754E5B3B20C7507A3FAF0EF561152CFD","XRP",2019-01-25 08:39:00,126.616,"XRP",0.3147,39.8460552,0.87717,1.00036,0.75748,1.35394,34.951764239784,30.182589892896,53.949167977488,2021-04-16 01:00:00,-811.625
2019-01-25,2019-01-25 13:00:00,"FFD4194907BD126337B3195D8A6F71EB4B63D5871EE980DB468D24B45A605319","XRP",2019-01-25 13:07:21,88.96,"XRP",0.3125,27.8,0.87717,1.00036,0.75748,1.35394,24.385326,21.057944,37.639532,2021-04-16 01:00:00,-811.458333333333
2019-01-25,2019-01-25 22:00:00,"DAB170C8C514AE7D49C668A00DE751C4BEDF8F5BC5C8739CD3FAE2688527812C","XRP",2019-01-25 22:01:00,12121.212,"XRP",0.3115,3775.757538,0.87717,1.00036,0.75748,1.35394,3311.98123960746,2860.06081988424,5112.14916099972,2021-04-16 01:00:00,-811.083333333333
2019-01-25,2019-01-26 01:00:00,"7C7C9E6A4F9020251173FED7B9D54675D29E1C050CB6AB2C3E1FC3EA7613020A","XRP",2019-01-26 00:51:32,318.6484,"XRP",0.3137,99.96000308,0.87717,1.00036,0.75748,1.35394,87.6819159016836,75.7177031330384,135.339846570135,2021-04-16 01:00:00,-810.958333333333
2019-01-26,2019-01-26 19:00:00,"A6F26697D696B206DA0E930084EA7C83A7772D5DA31032CF3D88DBCA9EA518D8","XRP",2019-01-26 19:26:31,760,"XRP",0.3124,237.424,0.87717,1.00035,0.75762,1.35394,208.26121008,179.87717088,321.45785056,2021-04-16 01:00:00,-810.208333333333
2019-01-26,2019-01-26 23:00:00,"9D1803ECBF91139C090CEF258FE93FE09C4B06755C9A0B99DBBCAB8273A86A32","XRP",2019-01-26 22:44:02,1151.5152,"XRP",0.3113,358.46668176,0.87717,1.00035,0.75762,1.35394,314.436219239419,271.581527435011,485.342379102134,2021-04-16 01:00:00,-810.041666666667
2019-01-27,2019-01-27 10:00:00,"C50FAF2C589873497F9E611C1000380AA3C27AD1890CA4C627BE8D8A37449093","XRP",2019-01-27 10:25:50,12195.122,"XRP",0.3102,3782.9268444,0.87624,0.99976,0.75714,1.35313,3314.75181813706,2864.20523096902,5118.79180096297,2021-04-16 01:00:00,-809.583333333333
2019-01-27,2019-01-27 16:00:00,"0A91FDF2889CCA90335D4AC94D4B17737D750D3E029CE1D937453CC22AED8A70","XRP",2019-01-27 16:26:40,148.6988,"XRP",0.306,45.5018328,0.87624,0.99976,0.75714,1.35313,39.870525972672,34.451257686192,61.569895016664,2021-04-16 01:00:00,-809.333333333333
2019-01-27,2019-01-27 16:00:00,"E89FCD57EF01CF83CEAC19CB160DA00F74D6CCFCD4CBBDCE4F862B256F905D21","XRP",2019-01-27 16:10:51,221.5612,"XRP",0.306,67.7977272,0.87624,0.99976,0.75714,1.35313,59.407080481728,51.332371172208,91.739138606136,2021-04-16 01:00:00,-809.333333333333
2019-01-27,2019-01-27 20:00:00,"47D7F90C51FD8BB61CE6185F41C6674676DE680229ADC29B371967DE0BA3BC67","XRP",2019-01-27 20:20:31,118.266,"XRP",0.307,36.307662,0.87624,0.99976,0.75714,1.35313,31.81422575088,27.48998320668,49.12898668206,2021-04-16 01:00:00,-809.166666666667
2019-01-27,2019-01-27 20:00:00,"CB4278EF1A812198D1E2B88B3062B0F9DF0F22AC3147409727AC3B2821211935","XRP",2019-01-27 19:57:02,74.1016,"XRP",0.307,22.7491912,0.87624,0.99976,0.75714,1.35313,19.933751297088,17.224322625168,30.782613088456,2021-04-16 01:00:00,-809.166666666667
2019-01-31,2019-01-31 02:00:00,"354C51C4519340602B2C281EC03D9DDD7BB486F148306E71A4BA73A858EE8905","XRP",2019-01-31 02:29:11,467,"XRP",0.3193,149.1131,0.87361,1.00014,0.76286,1.34601,130.266695291,113.752419466,200.707723731,2021-04-16 01:00:00,-805.916666666667
2019-01-31,2019-01-31 05:00:00,"06423F91D4ABB882DB9A0413955F0F30731D203F320DFF40022ED4448AA66204","XRP",2019-01-31 05:20:40,610.3784,"XRP",0.328,200.2041152,0.87361,1.00014,0.76286,1.34601,174.900317079872,152.727711321472,269.476741100352,2021-04-16 01:00:00,-805.791666666667
2019-01-31,2019-01-31 13:00:00,"405D1C042C3D7CFA30FC82FEE1C2C6C614A8903897B63FC9A09D3FB006A1BE4C","XRP",2019-01-31 13:09:01,40.9272,"XRP",0.3032,12.40912704,0.87361,1.00014,0.76286,1.34601,10.8407374734144,9.4664266537344,16.7028090871104,2021-04-16 01:00:00,-805.458333333333
2019-01-31,2019-01-31 16:00:00,"673C9F4BFC18E6C63F831E0040F740141611519BAD3304F3708F016DDD600313","XRP",2019-01-31 15:40:02,146.9384,"XRP",0.3078,45.22763952,0.87361,1.00014,0.76286,1.34601,39.5113181610672,34.5023570842272,60.8768550703152,2021-04-16 01:00:00,-805.333333333333
2019-01-31,2019-01-31 18:00:00,"AB8ED98D93EAE7AA63A3BD2DDD44F3D41BBEFABC32DE1F93A6A3E168C894FCCB","XRP",2019-01-31 18:12:41,656.4836,"XRP",0.3077,202.00000372,0.87361,1.00014,0.76286,1.34601,176.469223249829,154.097722837839,271.894025007157,2021-04-16 01:00:00,-805.25
2019-01-31,2019-01-31 19:00:00,"49578F68F8A17393DE267CFE14F74EC6F4BD33D52C1736E0E24A5CE19E0BF133","XRP",2019-01-31 19:23:21,1257.56,"XRP",0.3058,384.561848,0.87361,1.00014,0.76286,1.34601,335.95707603128,293.36685136528,517.62409302648,2021-04-16 01:00:00,-805.208333333333
2019-01-31,2019-01-31 20:00:00,"EFDA8E2B037C78C0A3DC97C687BFD2D8BF8FDD12C1FBC4D2BD0D7ADAD992B1E7","XRP",2019-01-31 20:16:31,662.5124,"XRP",0.3057,202.53004068,0.87361,1.00014,0.76286,1.34601,176.932268838455,154.502066833145,272.607460055687,2021-04-16 01:00:00,-805.166666666667
2019-01-31,2019-02-01 01:00:00,"651F6CF7DCF494D492E0FA505568D12D44A49188F7CD5910479F2AD697346720","XRP",2019-02-01 01:17:01,377.3584,"XRP",0.3105,117.1697832,0.87361,1.00014,0.76286,1.34601,102.360694301352,89.384140811952,157.711699885032,2021-04-16 01:00:00,-804.958333333333
